datetime,day of week,total,place,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea,gateau chocolat,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade,tiramisu,merinque cookies,date,time,am_pm,month,day,year
7/22/2019 14:47,Mon,26000,,5,,,,,,,,,,,,,,,,,,,,,,,7/22/2019,2:47:00,PM,7,22,2019
7/22/2019 15:37,Mon,19600,,1,,,,,1,1,,,,,,,1,,,,,,,,,,7/22/2019,3:37:00,PM,7,22,2019
7/22/2019 16:54,Mon,18600,,1,,,,1,,,,,,,,,1,,,,,,,1,,,7/22/2019,4:54:00,PM,7,22,2019
7/24/2019 11:29,Wed,16400,,3,,,,,,,,,,,,,,,,,,,,,,,7/24/2019,11:29:00,AM,7,24,2019
7/24/2019 11:56,Wed,27100,,2,2,,,,,1,,,,,,,,,,,1,,,,,,7/24/2019,11:56:00,AM,7,24,2019
7/24/2019 13:24,Wed,18800,,1,1,,1,1,,,,,,,,,,,,,,,,,,,7/24/2019,1:24:00,PM,7,24,2019
7/24/2019 14:25,Wed,25400,,3,,,,,,,,,,,,2,,,,,,,,,,,7/24/2019,2:25:00,PM,7,24,2019
7/24/2019 14:28,Wed,26300,,1,2,,1,,,1,,,,,,,,,,,,,1,,,,7/24/2019,2:28:00,PM,7,24,2019
7/24/2019 15:36,Wed,16100,,2,,,,,,,,,1,,,,,,,,,,,,,,7/24/2019,3:36:00,PM,7,24,2019
7/24/2019 15:40,Wed,16100,,2,,,,,,1,,,,,,,,,,,,,,,,,7/24/2019,3:40:00,PM,7,24,2019
7/24/2019 16:02,Wed,16400,,3,,,,,,,,,,,,,,,,,,,,,,,7/24/2019,4:02:00,PM,7,24,2019
7/24/2019 17:20,Wed,15000,,,,,,,,,,1,1,,,,,,,,,2,,,,,7/24/2019,5:20:00,PM,7,24,2019
7/25/2019 11:49,Thur,18600,,1,,,,,,1,,1,,,,,1,,,,,,,,,,7/25/2019,11:49:00,AM,7,25,2019
7/25/2019 11:57,Thur,26800,,1,1,,1,1,1,,,,,,,,,,,,,,1,,,,7/25/2019,11:57:00,AM,7,25,2019
7/25/2019 12:01,Thur,35000,,,,,,,,,,,4,,,,,,,,,6,,,,,7/25/2019,12:01:00,PM,7,25,2019
7/25/2019 12:35,Thur,38000,,5,,,,1,,,,1,,,,,,,,,,2,,,,,7/25/2019,12:35:00,PM,7,25,2019
7/25/2019 13:01,Thur,23100,,2,,,,,,1,,1,,,,,,,,,,,,,,,7/25/2019,1:01:00,PM,7,25,2019
7/25/2019 13:05,Thur,17300,,,,,,,,,,2,,,,,1,,,,,,,1,,,7/25/2019,1:05:00,PM,7,25,2019
7/25/2019 13:40,Thur,19600,,2,,,,1,,,,,,,,,,1,,,,,,,,,7/25/2019,1:40:00,PM,7,25,2019
7/25/2019 13:42,Thur,15300,,1,,,1,,,,,,,,,,,1,,,,,,,,,7/25/2019,1:42:00,PM,7,25,2019
7/25/2019 14:12,Thur,16100,,2,,,,,,,,,,,,,,1,,,,,,,,,7/25/2019,2:12:00,PM,7,25,2019
7/25/2019 15:09,Thur,14300,,1,,,1,1,,,,,,,,,,,,,,,,,,,7/25/2019,3:09:00,PM,7,25,2019
7/25/2019 15:57,Thur,15100,,1,,,,,,,,,1,,,,1,,,,,,,,,,7/25/2019,3:57:00,PM,7,25,2019
7/25/2019 16:03,Thur,20000,,,,,,,,,,,1,,,,,1,,,1,,1,,,,7/25/2019,4:03:00,PM,7,25,2019
7/26/2019 11:26,Fri,25300,,1,1,,,3,,,,,,,,,,,,,1,,,,,,7/26/2019,11:26:00,AM,7,26,2019
7/26/2019 11:23,Fri,73200,,4,3,,,6,,1,,2,,,,,,1,,,1,,,,,,7/26/2019,11:23:00,AM,7,26,2019
7/26/2019 11:31,Fri,22800,,1,,,,,,1,,,,,,,,1,,,1,1,,,,,7/26/2019,11:31:00,AM,7,26,2019
7/26/2019 11:36,Fri,1293000,,6,5,,,5,,,,5,5,,,,,5,,,,,,,,,7/26/2019,11:36:00,AM,7,26,2019
7/26/2019 11:37,Fri,15000,,,1,1,,1,,,,,,,,,,,,,1,,,,,,7/26/2019,11:37:00,AM,7,26,2019
7/26/2019 11:55,Fri,20800,,1,,,,,,1,,,1,,,,,,,,,2,,,,,7/26/2019,11:55:00,AM,7,26,2019
7/26/2019 13:19,Fri,25900,,3,,,,,,1,,,,,,,,,,,,2,,,,,7/26/2019,1:19:00,PM,7,26,2019
7/26/2019 13:24,Fri,28100,,2,,,1,,,,,1,,,,,,,,1,1,,,,,,7/26/2019,1:24:00,PM,7,26,2019
7/26/2019 14:05,Fri,15800,,1,,,,,,,,,,,,1,,,,,,,,1,,,7/26/2019,2:05:00,PM,7,26,2019
7/26/2019 14:24,Fri,35000,,5,,,,,,,,,,,,,,,,,2,,,,,,7/26/2019,2:24:00,PM,7,26,2019
7/26/2019 14:52,Fri,22100,,1,,,,,,,,,1,,,,1,,,1,,1,,,,,7/26/2019,2:52:00,PM,7,26,2019
7/26/2019 14:56,Fri,16100,,2,,,,,,,,,,,,,,1,,,,,,,,,7/26/2019,2:56:00,PM,7,26,2019
7/27/2019 11:29,Sat,18800,,1,1,,1,,,1,,,,,,,,,,,,,,,,,7/27/2019,11:29:00,AM,7,27,2019
7/27/2019 11:57,Sat,21800,,1,1,,,1,,,,1,,,,,,1,,,,,,,,,7/27/2019,11:57:00,AM,7,27,2019
7/27/2019 12:00,Sat,18600,,1,,,,1,,,,,,,,,1,,,,,,1,,,,7/27/2019,12:00:00,PM,7,27,2019
7/27/2019 12:07,Sat,33200,,2,2,,,,,,,2,,,,,2,,,,,,,,,,7/27/2019,12:07:00,PM,7,27,2019
7/27/2019 12:20,Sat,22800,,1,,,,1,,,,1,,,,,,,,1,,,,,1,,7/27/2019,12:20:00,PM,7,27,2019
7/27/2019 12:26,Sat,17000,,1,,,,3,,,,,,,,,,,,,,,,,,,7/27/2019,12:26:00,PM,7,27,2019
7/27/2019 12:43,Sat,16400,,1,1,,,,,,,,,,,,,1,,,,,,,,,7/27/2019,12:43:00,PM,7,27,2019
7/27/2019 13:50,Sat,14800,,1,1,,,,,,,,,,,,,1,,,,,,,,,7/27/2019,1:50:00,PM,7,27,2019
7/27/2019 14:05,Sat,32600,,1,1,1,,,,,,,,,,,1,,,1,1,1,1,,,,7/27/2019,2:05:00,PM,7,27,2019
7/28/2019 11:17,Sun,17300,,1,,,,1,,,,,,,,,,,,,1,1,,,,,7/28/2019,11:17:00,AM,7,28,2019
7/28/2019 12:10,Sun,14800,,1,1,,,,,,,,,,,,,1,,,,,,,,,7/28/2019,12:10:00,PM,7,28,2019
7/28/2019 12:21,Sun,14800,,1,,,,,,1,,1,,,,,,,,,,,,,,,7/28/2019,12:21:00,PM,7,28,2019
7/28/2019 12:47,Sun,14300,,1,,,1,,,,,1,,,,,,,,,,,,,,,7/28/2019,12:47:00,PM,7,28,2019
7/28/2019 12:48,Sun,14800,,1,,,,1,,1,,,,,,,,,,,,,,,,,7/28/2019,12:48:00,PM,7,28,2019
7/28/2019 13:13,Sun,25600,,2,1,,,2,,,,,,,,,,,,,,1,,,,,7/28/2019,1:13:00,PM,7,28,2019
7/28/2019 13:14,Sun,19500,,,1,1,,,,,,1,,,,,,1,,,,,,1,,,7/28/2019,1:14:00,PM,7,28,2019
7/29/2019 11:08,Mon,24800,,1,,,,3,,,,,,,,,,,,,,3,,,,,7/29/2019,11:08:00,AM,7,29,2019
7/29/2019 11:12,Mon,24100,,2,,,,1,,1,,,,,,,,,,,1,,,,,,7/29/2019,11:12:00,AM,7,29,2019
7/28/2019 11:14,Mon,15800,,1,,,,,,1,,,,,,,,1,,,,,,,,,7/28/2019,11:14:00,AM,7,28,2019
7/29/2019 11:39,Mon,14800,,1,,,,,,,,1,,,,,,1,,,,,,,,,7/29/2019,11:39:00,AM,7,29,2019
7/29/2019 12:02,Mon,14800,,1,,,,,,,,1,,,,,,,,,1,,,,,,7/29/2019,12:02:00,PM,7,29,2019
7/29/2019 12:15,Mon,18300,,1,,,,1,,,,1,,,,,,,,,1,,,,,,7/29/2019,12:15:00,PM,7,29,2019
7/29/2019 12:22,Mon,27900,,3,1,,,,,,,1,,,,,,,,,1,,,,,,7/29/2019,12:22:00,PM,7,29,2019
7/29/2019 12:54,Mon,15800,,1,,,,,,,,,1,,,,,,,,1,,,,,,7/29/2019,12:54:00,PM,7,29,2019
7/29/2019 13:25,Mon,18100,,1,,,1,1,,,,,,,,,1,,,,,,,,,,7/29/2019,1:25:00,PM,7,29,2019
7/29/2019 13:36,Mon,28000,,,,,,1,,,,,1,,,1,,1,,,,,1,,,,7/29/2019,1:36:00,PM,7,29,2019
7/29/2019 13:53,Mon,28000,,,,,2,,,1,,,1,,,,,1,,,,,1,,,,7/29/2019,1:53:00,PM,7,29,2019
7/31/2019 11:09,Wed,15600,,2,,,1,,,,,,,,,,,,,,,,,,,,7/31/2019,11:09:00,AM,7,31,2019
7/31/2019 11:25,Wed,30100,,2,1,,,2,,,,1,,,,,,1,,,,,,,,,7/31/2019,11:25:00,AM,7,31,2019
7/31/2019 11:38,Wed,23300,,1,1,1,,1,,,,1,1,,,,,,,,,,,,,,7/31/2019,11:38:00,AM,7,31,2019
7/31/2019 11:44,Wed,30200,,2,,,1,,,,,2,,,,,2,,,,,,,,,,7/31/2019,11:44:00,AM,7,31,2019
7/31/2019 12:48,Wed,15100,,2,1,,,,,,,,,,,,,,,,,,,,,,7/31/2019,12:48:00,PM,7,31,2019
7/31/2019 13:18,Wed,27300,,1,1,,2,,,,,,,,,,,1,,,,,1,,,,7/31/2019,1:18:00,PM,7,31,2019
7/31/2019 13:19,Wed,15300,,1,,,1,,,1,,,,,,,,,,,,,,,,,7/31/2019,1:19:00,PM,7,31,2019
7/31/2019 13:29,Wed,16100,,1,,,,,,,,,,,,,1,1,,,,,,,,,7/31/2019,1:29:00,PM,7,31,2019
7/31/2019 13:54,Wed,15100,,1,,,,,,,,,,,,1,1,,,,,,,,,,7/31/2019,1:54:00,PM,7,31,2019
7/31/2019 13:58,Wed,15800,,1,,,,,,1,,,,,,,,1,,,,,,,,,7/31/2019,1:58:00,PM,7,31,2019
8/1/2019 11:03,Thur,14500,,,,,,,,1,,1,,,,,,1,,,,,,,,,8/1/2019,11:03:00,AM,8,1,2019
8/1/2019 11:17,Thur,13100,,2,,,,,,,,1,,,,,,,,,,,,,,,8/1/2019,11:17:00,AM,8,1,2019
8/1/2019 11:25,Thur,16100,,2,,,,,,,,,,,,,,1,,,,,,,,,8/1/2019,11:25:00,AM,8,1,2019
8/1/2019 11:50,Thur,14800,,1,,,,1,,,,,,,,,,,,,1,,,,,,8/1/2019,11:50:00,AM,8,1,2019
8/1/2019 12:02,Thur,21100,,2,1,,,1,,,,,,,,,,1,,,,,,,,,8/1/2019,12:02:00,PM,8,1,2019
8/1/2019 12:15,Thur,20600,,2,,,,,,1,,,,,,,,,,,1,,,,,,8/1/2019,12:15:00,PM,8,1,2019
8/1/2019 12:24,Thur,32600,,1,2,,,2,,1,,1,,,,,1,,,,,,,,,,8/1/2019,12:24:00,PM,8,1,2019
8/1/2019 12:38,Thur,14500,,,1,,,,,,,,,,,1,,1,,,,,,,,,8/1/2019,12:38:00,PM,8,1,2019
8/1/2019 13:37,Thur,15100,,2,,,,1,,,,,,,,,,,,,,,,,,,8/1/2019,1:37:00,PM,8,1,2019
8/1/2019 13:39,Thur,15000,,,1,1,,,,,,1,,,,1,,,,,,,,,,,8/1/2019,1:39:00,PM,8,1,2019
8/1/2019 14:17,Thur,14800,,1,,,,,,1,,1,,,,,,,,,,,,,,,8/1/2019,2:17:00,PM,8,1,2019
8/1/2019 14:56,Thur,23000,,,,,,4,,,,2,,,,,,,,,,,,,,,8/1/2019,2:56:00,PM,8,1,2019
8/2/2019 11:03,Fri,19900,,3,,,,,,,,1,,,,,,,,,,,,,,,8/2/2019,11:03:00,AM,8,2,2019
8/2/2019 11:04,Fri,14100,,1,1,,,,,,,,,,,,1,,,,,,,,,,8/2/2019,11:04:00,AM,8,2,2019
8/2/2019 11:06,Fri,18000,,3,,,,,,1,,,,,,,,1,,,1,1,,,,,8/2/2019,11:06:00,AM,8,2,2019
8/2/2019 11:19,Fri,16400,,3,,,,,,,,,,,,,,,,,,,,,,,8/2/2019,11:19:00,AM,8,2,2019
8/2/2019 11:31,Fri,17300,,1,1,,,,,,,,,,,,,,,,,1,,1,,,8/2/2019,11:31:00,AM,8,2,2019
8/2/2019 11:57,Fri,30800,,6,,,,,,,,,,,,,,,,,,,,,,,8/2/2019,11:57:00,AM,8,2,2019
8/2/2019 12:21,Fri,15800,,1,,,,,1,1,,,,,,,,,,,,,,,,,8/2/2019,12:21:00,PM,8,2,2019
8/2/2019 12:31,Fri,19900,,2,,,,,,,,,,,,,1,,,,1,,,,,,8/2/2019,12:31:00,PM,8,2,2019
8/2/2019 12:51,Fri,15800,,1,1,,,,,1,,,,,,,,,,,,,,,,,8/2/2019,12:51:00,PM,8,2,2019
8/3/2019 11:02,Sat,26000,,5,,,,,,,,,,,,,,,,,,,,,,,8/3/2019,11:02:00,AM,8,3,2019
8/3/2019 11:03,Sat,26100,,2,1,,,,,,,1,,,,,,,,,,3,,,,,8/3/2019,11:03:00,AM,8,3,2019
8/3/2019 11:03,Sat,16000,,,,,,2,,,,2,,,,,,,,,,,,,,,8/3/2019,11:03:00,AM,8,3,2019
8/3/2019 11:05,Sat,29100,,1,,,,1,,,,1,1,,,,1,,,,1,1,,,,,8/3/2019,11:05:00,AM,8,3,2019
8/3/2019 11:06,Sat,16800,,1,1,1,,,,,,,,,,,,,,,,2,,,,,8/3/2019,11:06:00,AM,8,3,2019
8/3/2019 11:08,Sat,22800,,,1,,,1,,,,,,,,,1,,,,,4,,,,,8/3/2019,11:08:00,AM,8,3,2019
8/3/2019 11:20,Sat,16600,,1,,,,1,,,,,,,,,1,,,,,1,,,,,8/3/2019,11:20:00,AM,8,3,2019
8/3/2019 11:53,Sat,18800,,1,1,,,1,,,,,,,,,,,,,,2,,,,,8/3/2019,11:53:00,AM,8,3,2019
8/3/2019 12:06,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,,8/3/2019,12:06:00,PM,8,3,2019
8/3/2019 12:44,Sat,19300,,1,1,,,,,,,,,,,1,,,,,1,,,,,,8/3/2019,12:44:00,PM,8,3,2019
8/3/2019 13:06,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,,8/3/2019,1:06:00,PM,8,3,2019
8/3/2019 13:18,Sat,18300,,1,,,2,1,,,,,,,,,,,,,,,,,,,8/3/2019,1:18:00,PM,8,3,2019
8/3/2019 13:20,Sat,16300,,1,,1,,1,,,,,,,,,,,,,1,,,,,,8/3/2019,1:20:00,PM,8,3,2019
8/3/2019 13:42,Sat,15800,,1,,,,,,,,,2,,,,,,,,,,,,,,8/3/2019,1:42:00,PM,8,3,2019
8/3/2019 15:07,Sat,17900,,3,,1,,,,,,,,,,,,,,,,,,,,,8/3/2019,3:07:00,PM,8,3,2019
8/3/2019 15:53,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,,8/3/2019,3:53:00,PM,8,3,2019
8/4/2019 11:02,Sun,34800,,1,1,,2,2,,,,2,,,,,,,,,,1,,,,,8/4/2019,11:02:00,AM,8,4,2019
8/4/2019 11:04,Sun,31600,,2,1,,,1,,,,1,,,,,,,,,1,2,,,,,8/4/2019,11:04:00,AM,8,4,2019
8/4/2019 11:07,Sun,16400,,3,,,,,,,,,,,,,,,,,,,,,,,8/4/2019,11:07:00,AM,8,4,2019
8/4/2019 11:07,Sun,19300,,1,1,,,,,1,,,,,,1,,,,,,,,,,,8/4/2019,11:07:00,AM,8,4,2019
8/4/2019 11:41,Sun,24300,,1,1,1,,,,1,,1,,,,,,,,,,1,,,,,8/4/2019,11:41:00,AM,8,4,2019
8/4/2019 11:52,Sun,22100,,2,,,,1,,,,,,,,,,,,,1,1,,,,,8/4/2019,11:52:00,AM,8,4,2019
8/4/2019 12:27,Sun,14800,,1,1,,,,,,,,,,,,,,,,1,,,,,,8/4/2019,12:27:00,PM,8,4,2019
8/4/2019 12:30,Sun,19500,,,1,,,2,,,,1,,,,,,,,,,,,,,,8/4/2019,12:30:00,PM,8,4,2019
8/4/2019 12:35,Sun,20600,,2,,,,,,,,,,,,,,1,,,1,,,,,,8/4/2019,12:35:00,PM,8,4,2019
8/4/2019 12:39,Sun,17800,,,1,1,,,,,,,1,,,,1,,,,,1,,,,,8/4/2019,12:39:00,PM,8,4,2019
8/5/2019 11:11,Mon,16300,,1,,,,,,1,,,,,,,,,,,,2,,,,,8/5/2019,11:11:00,AM,8,5,2019
8/5/2019 11:16,Mon,23100,,2,,,,,,,,,,,,1,,,,,1,1,,,,,8/5/2019,11:16:00,AM,8,5,2019
8/5/2019 11:18,Mon,31400,,2,,,,,,1,,1,,,,,1,1,,,,1,,,,,8/5/2019,11:18:00,AM,8,5,2019
8/5/2019 11:32,Mon,17000,,,,,,,,,,1,2,,,,,,,,,1,,,,,8/5/2019,11:32:00,AM,8,5,2019
8/5/2019 11:59,Mon,22300,,1,1,1,,,,,,1,,,,,,1,,,,1,,,,,8/5/2019,11:59:00,AM,8,5,2019
8/5/2019 12:14,Mon,26600,,2,1,,,1,,1,,1,,,,,,,,,,,,,,,8/5/2019,12:14:00,PM,8,5,2019
8/5/2019 12:14,Mon,14800,,1,1,,,,,,,,,,,,,1,,,,,,,,,8/5/2019,12:14:00,PM,8,5,2019
8/5/2019 12:42,Mon,19600,,2,,,,,,1,,1,,,,,,,,,,,,,,,8/5/2019,12:42:00,PM,8,5,2019
8/5/2019 12:49,Mon,49300,,1,1,1,,1,1,,,1,,,,,,,,1,,,3,1,,,8/5/2019,12:49:00,PM,8,5,2019
8/5/2019 13:54,Mon,19800,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,8/5/2019,1:54:00,PM,8,5,2019
8/5/2019 14:25,Mon,20800,,1,1,,,,1,,,,,,,,,,,,,1,,,,,8/5/2019,2:25:00,PM,8,5,2019
8/5/2019 14:53,Mon,16300,,1,,,,2,,,,,,,,,,,,,,1,,,,,8/5/2019,2:53:00,PM,8,5,2019
8/7/2019 11:03,Wed,16300,,1,,,,2,,,,,,,,,,,,,,1,,,,,8/7/2019,11:03:00,AM,8,7,2019
8/7/2019 11:10,Wed,21200,,4,,,,,,,,,,,,,,,,,,,,,,,8/7/2019,11:10:00,AM,8,7,2019
8/7/2019 12:17,Wed,15300,,,,,,1,,,,1,,,,,1,,,,,1,,,,,8/7/2019,12:17:00,PM,8,7,2019
8/7/2019 12:20,Wed,27300,,1,,,,1,1,1,,1,,,,,,,,,,,1,,,,8/7/2019,12:20:00,PM,8,7,2019
8/7/2019 12:28,Wed,16100,,2,,,,,,,,,,,,,,,,,1,,,,,,8/7/2019,12:28:00,PM,8,7,2019
